Rank,Position,Name,School,Grade,URL,Summary,Strengths,Weaknesses,Round,Pro Comparison
1,S,Caleb Downs,Ohio State,9.2,https://bleacherreport.com/articles/25248468-nfl-draft-2026-scouting-report-ohio-state-s-caleb-downs,"Caleb Downs is the single best prospect for the 2026 draft cycle. With his experience in Matt Patricia's defense, he's going to hit the ground running for whatever NFL team drafts him.

Downs is a former 5-star recruit and transfer from Alabama after the 2023 season.

He was tapped as a unanimous All-American, Big Ten Conference's Tatum-Woodson Defensive Back of the Year, and all-Big Ten in back-to-back seasons after being named the Shaun Alexander National Freshman of the Year after his 2023 campaign.","— Understands how best to use his abilities with body positioning and physicality.

— Sees route concepts unfold and matches them with the quarterback's eyes to break on routes.

— A great communicator in the secondary when it comes to passing of routes and lining up the defense.

— Versatile skillset to succeed wherever a defense needs him, making him the ultimate chess piece.

— Athleticism to smoothly transition from zone to running in man coverage and changing direction.

— Quick to trigger on run plays downhill and create negative plays for the offense.

—Will be one of the smartest players on the field each and every time he steps on it.","— Will get locked into man coverage at times and plays the receiver instead of looking for the football.

— Adjusting pursuit angles and running through tackles to not fall to the ball carrier's ankles.

— Show more from a single-high skillset with speed and range moving backward. The instincts are there, but seeing more proof of concept would help.",1st Round,Eric Berry
2,RB,Jeremiyah Love,Notre Dame,9.0,https://bleacherreport.com/articles/25248572-nfl-draft-2026-scouting-report-notre-dame-rb-jeremiyah-love,"Jeremiyah Love is the ""new age"" bell cow running back who does not have to leave the field.

Love is a dynamic and explosive running back who possesses the skill set to be a complete weapon in an NFL offense. He combines home-run top-end speed with route-running and pass-catching ability to impact the offense in multiple ways.

Love is listed as a 6'0, 214-pound running back who entered Notre Dame as a 4-star recruit in the 2023 class. He brings sprinter speed from his background in track and field. His fastest 100-meter dash was 10.76 seconds at the prep level.","- Love runs with good patience behind the offensive line to maximize their blocks before finding daylight.

- Great combination of top-end speed, agility, and explosiveness, making him a dangerous threat with the football at all times. The defense must close the space between them quickly, or he will hit the sideline in full stride after breaking through the first level.

- Ability to decelerate and re-accelerate to evade incoming defenders and make sudden cuts/change of direction in the open field. He possesses the lateral explosiveness and agility to press a rush lane and jump-cut to evade closing defenders, while working into a vacated space for positive yards.

- Talented receiving skill set out of the backfield. He can be deployed in the slot and run routes in space to create mismatches for the offense.

- Runs behind his pads downhill with good balance to finish plays through contact and fall forward.

- He has been great at protecting the football throughout his career (267 rushing attempts without a fumble).","- Love must prioritize protecting himself from big hits. He attempts to hurdle over defenders, placing himself in a vulnerable position in the air.

- Leaner build/frame can raise questions for some NFL teams and evaluators on whether he can handle a ""bell cow"" workload.",1st Round,Jamaal Charles
3,QB,Fernando Mendoza,Indiana,8.6,https://bleacherreport.com/articles/25248189-nfl-draft-2026-scouting-report-indiana-qb-fernando-mendoza,"Fernando Mendoza emerged as the top quarterback in the nation and the NFL Draft class. He finished the season undefeated, as the Big Ten Champions, the Heisman winner, and a National Champion!

Mendoza has the build of a traditional pocket passer and a polished passing skill set that translates well to the NFL. He excels as a quick post-snap processor and quick decision-maker with the football. He is an intelligent player with an excellent mind for the game of football.

Mendoza began his career at Cal as a 3-star recruit in the 2022 class, per 247Sports. This season, Mendoza threw for 3,535 yards, 41 touchdowns, and six interceptions during his stellar lone season with the Hoosiers.","- High football IQ and quick post-snap processing.

- Possesses good arm talent/strength to drive the ball past linebackers with good velocity against both zone and man coverages.

- Dissects defenses quickly and efficiently from the pocket with his decision-making.

- He excels at layering the football over the defense and dropping it into the bucket at all three levels.

- Accurate passer at all three-levels, layers the football into tight windows.

- He is a functional, above-average straight-line athlete who will take free yards with his legs.

- Overall toughness, he has taken big hits and punishment, but never stayed down.","- Pocket mobility is average, does not climb or slide to reset and throw.

- Rushing his process when pressured, leading to inaccurate and off-target throws

- Inconsistent with decision-making under pressure; needs to learn to take the check/hot routes and take the profit.

- Developing answers at the line of scrimmage against simulated pressure looks.

- Functional athlete who is unable to consistently escape pressure in the pocket.

- Played in an RPO-heavy offense at Indiana, limited the amount of NFL throws on tape in 2025.",1st Round,Matt Ryan with mobility
4,LB,Arvell Reese,Ohio State,8.5,https://bleacherreport.com/articles/25261843-nfl-draft-2026-scouting-report-ohio-state-lb-arvell-reese,"Arvell Reese is the most physically impressive linebacker in the 2026 draft class. Whether he falls into a hybrid role or converts to being a full-time edge defender, the former Buckeye has a bright future as an impact defender in the NFL.

With elite strength at the point of attack, he can be a very effective run defender and, at just 20 years old—he turns 21 in late August—the 6'4"", 241-pound 'backer has a bright future and can be a quality player at the next level.

Reese entered Ohio State as a 4-star recruit in the 2023 class and contributed in six games as a special teamer.","- Great size and carries his frame well with no bad weight, giving him room for growth if need be. Also, has good arm length for an off-ball linebacker.

- Shows good instincts against the run to consistently be in the right spot.

- Physical and elite strength at the point of attack to stand up offensive linemen when taking on blocks on the second level.

- Impressive speed and pop behind his pads when coming downhill.

- Has experience playing on the edge as a stand-up outside linebacker and has shown the ability to set the edge against offensive tackles or pullers.

- Sure tackler overall who wraps up and has a large radius due to his long arms.

- In pursuit, he maintains proper leverage on ball carriers, has good speed to increase his range and breaks down to make tackles in space.

- Adds value as a blitzer on third downs, strong and physical to beat running backs with power, can execute coffee house stunts and has impressive closing speed on the quarterback.

- Experience playing in an NFL-level defensive scheme with former New England Patriots defensive coordinator and Detroit Lions head coach Matt Patricia taking over as Ohio State's defensive coordinator in 2025.","- Change of direction, lateral movement skills and lack of short-area quickness hinder his ability to cover tight ends and running backs in man coverage or make plays on the ball in zone coverage.

- Slow/late to get depth against play-action passes, leaving the middle of the field open.

- Bad eyes in zone coverage and often ends up covering grass.

- Has a habit of taking blocks square instead of getting on an edge, causing him to occasionally lose gap control.",1st Round,Demario Davis with more length
5,Edge,Rueben Bain Jr.,Miami,8.5,https://bleacherreport.com/articles/25249523-nfl-draft-2026-scouting-report-miami-edge-rueben-bain-jr,"Rueben Bain Jr. has the skill set to be the top player at his position and a top-five pick in the 2026 NFL draft.

Bain is a 6'2"", 263-pound edge defender prospect who entered Miami as a 4-star recruit in the 2023 class, per 247Sports, and made an immediate impact for the Hurricanes, earning ACC Defensive Rookie of the Year, third-team All-ACC and freshman All-American honors with 44 total tackles, 13 TFLs and 7.5 sacks.

He suffered a calf injury that caused him to miss four games in 2024, leading to a dip in production (23 tackles, six TFLs and 3.5 sacks) and just an honorable mention All-ACC bid.","- Good size with an NFL-ready body. Doesn't carry much bad weight and has a thick lower half.

- Good quickness for his size and impressive movement skills.

- Strong and physical at the point of attack to gain control of the block and set the edge against offensive tackles. Also, Bain is solid at holding ground against combo blocks from tackles and tight ends.

- Has shown the ability to shed blocks from offensive linemen and make tackles near the line of scrimmage.

- Can collapse the pocket when bull rushing and has impressive change-of-direction skills to be effective when turning speed to power.

- Flashed decent rip and cross-chop moves as secondary move options. Also, he has the athleticism to be an effective looper in line games.

- Good bend at the top of the rush to take efficient paths to the quarterback.","- Lacks some explosion off the line to win with speed around the edge as a pass-rusher at the next level.

- Timing/consistency with his hands when rushing the quarterback is a work in progress. Bain is often late and doesn't play the hands well after contact.

- Isn't gap disciplined against the run. He has a habit of leaving his assignment/gap early and can lose outside contain when setting the edge. He likes to gamble to make plays and can get burned by running backs who are good at setting defenders up on zone runs.

- Very short arms for an NFL edge defender.",1st Round,Brandon Graham
6,LB,Sonny Styles,Ohio State,8.4,https://bleacherreport.com/articles/25249903-nfl-draft-2026-scouting-report-ohio-state-lb-sonny-styles,"Sonny Styles is an impressive athlete with the necessary skills to be an excellent coverage linebacker in the NFL and a top-tier backer in the 2026 NFL draft class.

Styles stands at 6'5"" and 244 pounds and entered Ohio State as a 5-star recruit at safety in the 2022 class, per 247Sports.

He didn't get much playing time as a true freshman on the Buckeyes' deep defense, but he became an honorable mention All-Big Ten selection as a defensive back with 53 tackles, five tackles for loss, two sacks and one defended pass in year two.","- Very good athlete for a linebacker who has good eyes in man and zone coverages to locate threats and/or avoid pick routes.

- Movement skills, fluid hips and speed allow him to cover tight ends and running backs in man coverage or carry wide receivers on vertical routes when playing Tampa 2.

- Impressive speed to close on ball carriers, either when clicking and closing in coverage or when it comes to his sideline-to-sideline range against the run.

- Effective open-field tackler, Styles has the athleticism to avoid getting juked out in space, breaks down before contact and has long arms to increase his tackle radius.

- Physical player against the run and takes on blocks with his hands to help get extension when he adds more strength.

- Has showed the ability to use his movement skills to slip blocks from offensive linemen when they climb to the second level.","- Can get caught staring into the backfield against the run, putting him in a bad position to take on blocks and occasionally leading to him getting caught in the trash.

- A little thin for his height, could afford to add some size and strength to have more pop behind his pads when coming downhill and hold his ground against stronger offensive linemen.

- Also lacks some upper body strength to stack and shed blocks, and needs to develop a move to escape.

- Bites hard against run fakes on play action.",1st Round,Skinny Anthony Barr (NFL version)
7,Edge,David Bailey,Texas Tech,8.4,https://bleacherreport.com/articles/25258657-nfl-draft-2026-scouting-report-texas-tech-edge-david-bailey,"David Bailey is an impressive athlete, who has a deep bag of pass-rush moves to be a significant contributor on third downs in the NFL.

Bailey is a 6'3"", 250-pound edge defender prospect who originally went to Stanford as a 4-star recruit in the 2022 class. He was an immediate starter for the Cardinal, racking up 46 tackles, 8.5 tackles for loss and 2.5 sacks as a freshman to be named a true freshman All-American by 247Sports.

In 2023, Bailey accumulated 34 tackles, six TFLs and five sacks before logging 31 tackles, eight TFLs and seven sacks as a junior. However, he did not receive any postseason honors in those seasons and transferred to Texas Tech in 2025.","- Impressive athlete who is quick-twichted and has very smooth/easy change of direction skills to beat offensive linemen across faces.

- Good acceleration off the line of scrimmage to win around the edge with speed.

- Bailey uses his hands well as a pass-rusher, showing quick and active hands to ""defeat the hands, defeat the man"" against offensive tackles.

- Shown several pass-rush moves that he can with: hand swipe, rip, ghost rush, inside spin and long-arm.

- Good bend to corner at the top of the rush.

- Very agile to be an effective looper in line games, he can gain ground vertically while moving laterally.","- Slightly undersized to be a full-time edge defender in the NFL, Stanford had Bailey listed at 238 pounds in 2024, meaning he has already put on 13 pounds and might have maxed out his frame.

- Lacks the strength to be an effective run defender; he struggles to get extension on blocks and has skinny legs, which makes setting the edge against offensive linemen difficult.

- Not very physical at the point of attack.

- Has a habit of working around blocks, even against tight ends, often vacating his gap.

- Doesn't have the mass and strength to effectively turn speed to power against good competition.",1st Round,Jaelan Phillips
8,CB,Mansoor Delane,LSU,8.2,https://bleacherreport.com/articles/25250719-nfl-draft-2026-scouting-report-lsu-cb-mansoor-delane,"Mansoor Delane is a complete cornerback and refuses to back down to any receiver.

The 6'0"", 190-pound defensive back was a shutdown corner for the LSU Tigers, putting his top-tier skills on display in the national spotlight, which has improved his standing in Bleacher Report's rankings significantly.

Delane is a former 3-star recruit and transfer from Virginia Tech. He played three seasons for the Hokies and earned third-team All-ACC honors in 2024. After his junior season, he entered the transfer portal and committed to LSU, and made his presence felt immediately. He wasn't challenged often, but setting a career high with 11 passes defensed was a great way of asserting himself.","— Sticky, man-cover corner who presents a physical presence on the outside. He doesn't back down to bigger, ball-winning wide receivers.

— Reactive athleticism paired with a great ability to read receivers and route combinations. It allows him to break quickly and disrupt the catchpoint.

— Delane is a smooth athlete when moving backward and triggering downhill. Paired with his reactive athleticism, he can impact the run game.

— Doesn't panic when the ball is in there air and locates it well. He attacks the football with regularity.

— Football IQ to play zone at a high level and maintain responsibilities.","— Tends to let his eyes wander from responsibilities in zone coverage. Keeping his eyes on receivers entering his zone and shifting to the quarterback will be key.

— Pursuing downhill to the ball carrier and wrapping up, particularly in the run game. The want to is there, but some tackling technique improvement would make a difference.

— Learning to read quick receivers in soft press and maintain patience. Can trust his feet more in change of direction.",1st Round,Quinyon Mitchell
9,WR,Jordyn Tyson,Arizona State,8.20,https://bleacherreport.com/articles/25248631-nfl-draft-2026-scouting-report-arizona-state-wr-jordyn-tyson,"Jordyn Tyson is a twitchy, dynamic playmaker with the route-running traits to be an impact starter and matchup receiver.

This season, he has emerged as a high-volume target that translates well to the next level. A history of lingering injuries will cause difficult conversations during the draft about how high he should be valued by NFL teams.

Tyson is listed as a 6'2"", 200-pound wide receiver. He began his collegiate career with the Colorado Buffaloes as a 3-star recruit in the 2022 class. Tyson had a breakout season in 2024, with 75 catches for 1,101 yards and 10 touchdowns.","- Twitchy route runner; consistently wins leverage and creates separation

- Sudden mover with short-area quickness; effective at all three levels

- Alignment-versatile; He projects best as a movable Z-receiver that creates advantageous matchups.

- Flashes late hands and wins through contact; strong ball skills at the catch point

- Excellent body control, high points, and adjusts well to passes downfield

-Vertical speed to threaten and beat defenses over the top","- Inconsistent route efficiency with wasted movements at breaking points

- Struggles with physical press coverage, delayed, and inconsistent hand usage

- Injury history raises durability concerns

- Doesn't maximize his physical ability to create YAC; Athleticism is there but development is needed",1st Round,Amari Cooper
10,WR,Carnell Tate,Ohio State,8.15,https://bleacherreport.com/articles/25252853-nfl-draft-2026-scouting-report-ohio-state-wr-carnell-tate,"Carnell Tate is a route-running technician and specializes in manipulating defensive backs. He runs every branch on the route tree.

Tate's height and wingspan offer a quarterback-friendly target. He extends the catch point away from his frame and plucks the ball from the air. Tate is a bouncy athlete who can climb the ladder over defenders at the catch point. He has soft, reliable hands and excellent ball tracking skills.

Tate joined Ohio State's program as a 5-star recruit in the 2023 class, per 247Sports. Tate thrives in the WR2 role in the Ohio State Buckeyes' offense. This season, he caught 51 passes for 875 yards and nine touchdowns.","- Advanced route runner; consistently manipulates leverage and creates separation

- Sells vertical stems effectively, forces defenders to open hips early

- Long strider, covers ground quickly with free releases

- Strong ball skills, fully extends outside frame, and wins at the catch point

- Excellent body control, adjusts to off-target throws

- Competitive perimeter run blocker","- Build-up speed, lacks initial burst versus physical press coverage

- Questionable play strength; can get stalled by physical cornerbacks

- Limited YAC creativity, relies on angles rather than elusiveness in the open field

- Saw favorable coverage matchups across from Jeremiah Smith, raising questions on how he will handle WR1 workload and defensive attention",1st Round,A Bigger DeVonta Smith
